name,price,year,date,mileage,energy,gearbox,color,doors,ratedHorsePower,powerDIN,brand,model
OPEL CORSA VI,17960,2022,04/03/2022,47 452 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
CITROEN C5 AIRCROSS phase 2,29560,2024,29/01/2025,1 km,Essence,Manuelle,platine,5.0,7 CV,(DIN) 131 ch,CITROEN,C5 AIRCROSS phase 2
RENAULT GRAND SCENIC IV,25400,2022,23/03/2022,71 221 km,Essence,Automatique,gris,5.0,7 CV,(DIN) 140 ch,RENAULT,GRAND SCENIC IV
PORSCHE MACAN,51800,2017,17/10/2017,110 052 km,Essence,Automatique,noir metal,5.0,23 CV,(DIN) 340 ch - (moteur) 250 kW,PORSCHE,MACAN
TOYOTA AYGO X,15080,2021,25/02/2021,8 367 km,Essence,Manuelle,blanc,5.0,4 CV,(DIN) 72 ch,TOYOTA,AYGO X
AUDI Q5 II,39760,2019,19/07/2019,154 528 km,Diesel,Automatique,Bleu,5.0,9 CV,(DIN) 163 ch,AUDI,Q5 II
VOLKSWAGEN GOLF VIII,35380,2022,19/01/2023,34 810 km,Hybride essence électrique,Automatique,gris,5.0,8 CV,(DIN) 245 ch,VOLKSWAGEN,GOLF VIII
AUDI Q2,34420,2018,07/07/2018,88 745 km,Essence,Automatique,gris,5.0,8 CV,(DIN) 150 ch,AUDI,Q2
PEUGEOT 3008 II phase 2,42370,2022,28/01/2023,49 601 km,Hybride essence électrique,Automatique,noir,5.0,10 CV,(DIN) 181 ch,PEUGEOT,3008 II phase 2
MINI COUNTRYMAN II,28230,2019,11/02/2019,60 441 km,Essence,Manuelle,noir,5.0,11 CV,(DIN) 192 ch,MINI,COUNTRYMAN II
PEUGEOT 208 (2E GENERATION),18940,2023,28/07/2023,15 340 km,Essence,Manuelle,blanc,5.0,4 CV,(DIN) 75 ch - (moteur) 55 kW,PEUGEOT,208 (2E GENERATION)
JAGUAR I-PACE,50730,2019,17/03/2019,48 194 km,Electrique,Automatique,noir,5.0,10 CV,(DIN) 234 ch,JAGUAR,I-PACE
VOLKSWAGEN ID.4,53330,2022,23/02/2022,34 220 km,Electrique,Automatique,Gris,5.0,5 CV,(DIN) 105 ch,VOLKSWAGEN,ID.4
PORSCHE 718 CAYMAN,93940,2018,06/09/2018,20 008 km,Essence,Automatique,noir metal,,19 CV,(DIN) 299 ch - (moteur) 220 kW,PORSCHE,718 CAYMAN
