name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
CITROEN C5 X,54980.0,France,2023.0,26/01/2024,27 776 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
OPEL CROSSLAND phase 2,29950.0,France,2024.0,14/02/2024,344 km,Essence,Automatique,noir metal,,,,7 CV,(DIN) 131 ch - (moteur) 96 kW,"6,3 L/100 km",OPEL,CROSSLAND phase 2
AUDI A4 V,27540.0,France,2020.0,28/10/2020,86 504 km,Diesel,Automatique,,,,,7 CV,(DIN) 150 ch - (moteur) 110 kW,"4,3 L/100 km",AUDI,A4 V
MINI COUNTRYMAN II phase 2,32740.0,Importé,2020.0,06/05/2020,68 754 km,Hybride essence électrique,Automatique,gris foncé metal,,,,6 CV,(DIN) 220 ch - (moteur) 162 kW,,MINI,COUNTRYMAN II phase 2
RENAULT CLIO V,13900.0,France,2021.0,22/11/2021,74 517 km,Diesel,Manuelle,,,,,4 CV,(DIN) 86 ch,"4,2 L/100 km",RENAULT,CLIO V
CITROEN GRAND C4 SPACETOURER,31780.0,France,2023.0,17/11/2023,30 174 km,Diesel,Automatique,NOIR,,,,7 CV,(DIN) 130 ch,"5,1 L/100 km",CITROEN,GRAND C4 SPACETOURER
BMW X6 F16,45040.0,France,2020.0,21/09/2020,86 625 km,,,,,,,16 CV,(DIN) 259 ch,"6,4 L/100 km",BMW,X6 F16
VOLVO XC60 II phase 2,47830.0,France,2021.0,19/01/2022,159 750 km,Hybride essence électrique,,,,,,20 CV,(DIN) 317 ch - (moteur) 223 kW,,VOLVO,XC60 II phase 2
FORD PUMA II,22890.0,France,2022.0,02/02/2022,30 321 km,Essence,Manuelle,,,,,6 CV,(DIN) 125 ch,"5,3 L/100 km",FORD,PUMA II
FORD TRANSIT CUSTOM II phase 2,63720.0,France,2024.0,10/01/2025,1 km,Diesel,Automatique,,,,,7 CV,(DIN) 170 ch,,FORD,TRANSIT CUSTOM II phase 2
RENAULT CLIO IV phase 2,16480.0,France,2019.0,16/08/2019,71 272 km,Diesel,Automatique,,,,,5 CV,(DIN) 90 ch,"3,9 L/100 km",RENAULT,CLIO IV phase 2
PEUGEOT 2008 II,29290.0,France,2021.0,07/08/2021,30 265 km,Diesel,Automatique,orange,,,,7 CV,(DIN) 131 ch,"4,9 L/100 km",PEUGEOT,2008 II
MAZDA MX5 IV ST,29010.0,France,2017.0,29/12/2017,28 407 km,Essence,Manuelle,,,,,9 CV,(DIN) 160 ch - (moteur) 118 kW,"6,6 L/100 km",MAZDA,MX5 IV ST
PORSCHE MACAN phase 2,101590.0,France,2021.0,16/11/2021,39 385 km,Essence,Automatique,gris,,,,33 CV,(DIN) 440 ch,"9,7 L/100 km",PORSCHE,MACAN phase 2
CITROEN C5 AIRCROSS phase 2,33800.0,France,2024.0,21/02/2024,1 km,Diesel,Manuelle,gris,,,,7 CV,(DIN) 131 ch,"4,9 L/100 km",CITROEN,C5 AIRCROSS phase 2
