,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
1,107,25330.0,0,2022.0,510,34289,4,0,102,7,131,5.7,6,103
2,288,39650.0,0,2024.0,500,1,4,0,54,7,130,5.7,28,20
3,341,13900.0,0,2021.0,699,74517,3,1,102,4,86,4.2,30,145
6,239,40320.0,0,2021.0,924,36848,4,0,72,11,192,5.7,24,152
8,359,11340.0,0,2013.0,473,136890,4,1,50,7,130,6.4,30,341
13,313,336380.0,1,2020.0,84,9048,4,0,56,44,520,13.2,29,42
14,44,151120.0,0,2020.0,944,51667,4,0,102,52,600,11.5,2,330
21,353,20610.0,0,2021.0,35,81750,3,1,102,6,116,4.5,30,257
23,103,17900.0,0,2022.0,714,34570,4,1,49,4,83,5.6,6,99
24,214,33340.0,0,2020.0,907,41389,4,0,64,9,163,5.4,22,131
27,331,114720.0,1,2021.0,612,37700,4,0,88,24,354,10.7,29,251
31,358,9590.0,0,2011.0,2,104539,2,1,70,7,110,5.9,30,340
36,112,29100.0,0,2021.0,74,20065,3,0,102,6,131,4.1,6,108
39,141,21400.0,0,2018.0,284,112991,0,1,102,8,136,11.2,11,163
40,11,42480.0,0,2021.0,179,98883,3,0,102,8,150,4.9,2,60
43,338,12490.0,0,2019.0,526,88833,3,1,102,4,90,3.5,30,117
44,364,30430.0,0,2016.0,663,37940,3,1,102,7,125,5.3,30,396
46,311,140270.0,0,2017.0,749,68913,4,0,65,30,420,8.8,29,40
48,177,38920.0,0,2019.0,167,74614,3,0,49,11,195,4.9,15,122
53,337,26520.0,0,2023.0,587,7418,4,0,86,7,140,5.9,30,116
55,207,40580.0,0,2022.0,961,72384,3,0,49,10,190,5.1,22,124
56,338,14610.0,0,2020.0,108,57578,3,1,102,5,90,4.2,30,117
57,312,155130.0,0,2017.0,923,32100,4,0,88,39,476,12.4,29,41
59,95,17640.0,0,2020.0,673,70469,3,1,49,5,99,4.0,6,85
60,78,37360.0,0,2020.0,743,52178,4,0,102,10,192,5.7,4,412
61,87,71230.0,0,2020.0,27,53880,3,0,102,16,265,6.1,4,421
63,281,35940.0,0,2020.0,366,89937,3,0,102,6,131,4.0,28,13
67,345,22770.0,0,2020.0,351,69397,3,1,64,6,120,5.8,30,215
68,414,23190.0,0,2020.0,156,158175,3,0,102,8,150,4.8,36,378
69,341,17380.0,0,2020.0,463,55583,4,1,102,5,101,4.4,30,145
71,432,32540.0,0,2016.0,865,115918,3,0,102,11,190,5.1,37,426
72,287,33860.0,0,2023.0,922,3051,3,0,29,7,131,4.6,28,19
74,32,45480.0,0,2019.0,852,67146,3,0,102,11,190,4.8,2,298
76,407,41990.0,1,2023.0,825,2609,4,0,60,8,150,5.7,36,209
77,398,56970.0,0,2024.0,624,1368,3,0,102,7,177,9.8,36,153
78,385,24140.0,0,2023.0,578,34340,4,1,102,6,110,5.2,32,339
82,96,14930.0,0,2020.0,450,166901,3,1,4,5,131,4.4,6,86
83,124,30670.0,0,2024.0,634,11,3,1,49,6,115,5.3,8,167
84,354,18680.0,0,2021.0,153,35748,3,1,102,6,116,3.9,30,258
85,369,18340.0,0,2019.0,358,98183,4,1,54,6,115,5.3,31,81
87,275,17960.0,0,2018.0,653,141396,4,0,102,6,110,4.1,28,5
89,6,36090.0,0,2023.0,662,14348,4,0,29,6,110,5.8,2,54
99,319,263130.0,1,2022.0,47,8424,4,0,102,34,450,10.7,29,48
102,294,33380.0,0,2021.0,280,103552,3,0,49,6,131,4.0,28,30
105,334,30230.0,0,2022.0,510,39853,4,0,86,7,140,5.8,30,75
107,274,31350.0,0,2021.0,145,43105,4,0,3,7,131,6.1,28,4
111,123,20820.0,0,2020.0,843,54421,4,1,102,8,150,6.0,8,166
112,317,181330.0,1,2020.0,12,23220,4,0,102,34,450,8.9,29,46
113,328,68880.0,0,2019.0,328,113632,4,0,54,23,340,7.9,29,120
114,338,19780.0,0,2019.0,51,24299,4,0,102,8,150,4.6,30,117
117,16,33920.0,0,2018.0,605,120175,4,0,72,15,252,5.6,2,65
118,29,51680.0,1,2023.0,608,55,3,0,46,8,150,5.4,2,295
119,26,37960.0,0,2020.0,417,75074,4,0,102,11,190,6.6,2,292
121,112,28840.0,0,2021.0,911,19886,3,0,102,6,131,4.1,6,108
122,103,16370.0,0,2023.0,407,13560,4,1,102,4,83,5.3,6,99
123,278,17750.0,0,2022.0,487,23581,4,1,49,4,75,5.3,28,8
125,386,34130.0,0,2021.0,835,51606,3,0,102,8,150,5.1,32,374
126,357,12680.0,0,2020.0,436,84453,3,1,102,5,95,3.9,30,261
127,112,29100.0,0,2021.0,74,20065,3,0,102,6,131,4.1,6,108
129,275,23540.0,0,2018.0,705,30779,3,1,102,5,99,3.3,28,5
130,287,17060.0,0,2022.0,572,159731,3,1,102,7,131,4.6,28,19
131,274,26440.0,0,2022.0,716,29912,4,0,102,7,131,5.9,28,4
132,421,36580.0,0,2019.0,83,33550,4,0,102,8,150,6.1,36,388
133,252,18210.0,0,2023.0,542,9380,4,1,50,5,93,5.3,26,263
134,262,29950.0,0,2024.0,415,344,4,0,88,7,131,6.3,27,155
135,113,33800.0,0,2024.0,642,1,3,1,64,7,131,4.9,6,109
136,98,15680.0,0,2020.0,512,99937,3,1,102,5,102,4.0,6,94
137,11,41960.0,0,2023.0,867,15561,3,0,86,8,150,4.6,2,60
138,103,18000.0,0,2021.0,641,30268,3,1,102,5,102,4.2,6,99
140,340,17280.0,0,2019.0,722,114464,4,0,48,6,118,4.5,30,144
143,165,52180.0,0,2017.0,298,46400,4,0,102,33,422,8.7,12,269
145,22,47710.0,0,2022.0,88,54735,3,0,64,11,204,5.4,2,71
148,112,28840.0,0,2021.0,911,19886,3,0,102,6,131,4.1,6,108
149,113,37270.0,0,2023.0,374,11,4,0,86,7,131,6.5,6,109
150,70,41020.0,0,2018.0,293,75712,4,0,102,15,252,5.2,4,359
154,278,21940.0,0,2022.0,586,60468,3,1,102,5,102,4.2,28,8
155,27,28650.0,0,2023.0,922,18560,4,1,102,6,110,5.8,2,293
157,26,34180.0,0,2019.0,205,75282,3,0,102,8,150,4.5,2,292
158,260,18740.0,1,2021.0,18,26582,4,1,75,4,75,5.4,27,150
159,72,60860.0,1,2022.0,71,11845,4,0,88,10,184,6.6,4,361
160,192,53480.0,0,2018.0,250,138993,3,0,102,16,259,6.4,17,320
161,113,43270.0,0,2023.0,636,12,3,0,54,7,131,5.2,6,109
162,109,11280.0,0,2014.0,10,187470,3,1,102,7,150,3.8,6,105
169,173,36780.0,0,2020.0,640,76809,3,0,86,9,150,6.0,14,169
171,274,29290.0,0,2021.0,194,30265,3,0,92,7,131,4.9,28,4
172,193,35390.0,0,2015.0,933,141930,3,0,82,16,259,6.7,17,321
174,51,29140.0,0,2014.0,567,167292,3,0,102,20,313,6.6,2,371
175,374,28850.0,0,2018.0,295,83455,4,1,102,19,301,5.7,31,246
177,209,20570.0,0,2019.0,683,67873,4,1,102,6,122,4.3,22,126
178,112,30490.0,0,2020.0,152,67426,3,0,49,6,131,4.1,6,108
181,255,15410.0,0,2017.0,745,101135,4,1,102,6,116,5.2,26,302
182,232,135580.0,0,2021.0,962,65490,3,0,102,22,331,8.0,22,200
183,346,22740.0,0,2020.0,707,31084,4,1,102,8,140,5.9,30,237
185,344,24100.0,1,2023.0,890,12,3,1,102,5,75,5.1,30,173
186,44,143940.0,0,2021.0,594,37014,4,0,64,52,600,11.5,2,330
187,260,18440.0,0,2022.0,333,68782,4,1,54,5,100,5.5,27,150
189,317,175320.0,1,2021.0,129,31339,4,0,60,27,385,10.3,29,46
190,331,75040.0,1,2020.0,53,67200,4,0,102,15,245,8.1,29,251
191,116,33910.0,0,2023.0,69,22459,3,0,26,7,130,5.1,6,213
194,286,23730.0,0,2019.0,342,64765,4,0,102,7,131,5.4,28,18
